dataset,availability_level,window_id,block_id,predictor_snapshot_id,state_before_decision,n_cal_before_decision,C_hat,q_t,C_LCB,tau_cov,Gate_t,Design_t,C_t,Y_oracle,Y_cert,certificate_valid,false_safe,false_unsafe,classification,score_S_t,reset_trigger_after_window,state_next_window,natural_complete_status,natural_boundary_status,oracle_source_hash,stress_mask_hash,predictor_hash,snapshot_hash,feature_spec_hash,certificate_code_hash,cal_window_ids,boundary_near,C_LCB_zero,predictor_id,reset_rule_id,ridge_alpha,paper_method,k_n_clipped
sensorscope,1.0,10,0,sensorscope|a=1.00|b0,WARMUP,10,0.1007119993469359,,0.0,0.05,0,0,0.0802139037433155,True,False,True,False,True,FALSE_UNSAFE,0.020498095603620398,0,WARMUP,True,FULL_INTERIOR,82444e4f495344856de94b0d72ab4a46843780c232e2f299b300fcafa8c4b4a1,b87cf615ab34b447e87bf447d79b9e4183a6e16fcef6223c57fad7be4aec6502,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,6cd0b52dd7ce8f064a636e3bfc8de9b2309a7dfb02abb27056836d0416fd20a6,357158a3c01d61e36098ae03786aeb48ee6065502c78a6578078aa2eb8873772,0|1|2|3|4|5|6|7|8|9,False,True,AGGREGATE_COVERAGE_RIDGE_V1,MISCOVERAGE_TRIGGERED_RESET_V1,1.0,raven_mcs,False
sensorscope,1.0,11,0,sensorscope|a=1.00|b0,WARMUP,11,0.09836833597542366,,0.0,0.05,0,0,0.0802139037433155,True,False,True,False,True,FALSE_UNSAFE,0.018154432232108164,0,WARMUP,True,FULL_INTERIOR,82444e4f495344856de94b0d72ab4a46843780c232e2f299b300fcafa8c4b4a1,b87cf615ab34b447e87bf447d79b9e4183a6e16fcef6223c57fad7be4aec6502,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,6cd0b52dd7ce8f064a636e3bfc8de9b2309a7dfb02abb27056836d0416fd20a6,357158a3c01d61e36098ae03786aeb48ee6065502c78a6578078aa2eb8873772,0|1|2|3|4|5|6|7|8|9|10,False,True,AGGREGATE_COVERAGE_RIDGE_V1,MISCOVERAGE_TRIGGERED_RESET_V1,1.0,raven_mcs,False
sensorscope,1.0,12,0,sensorscope|a=1.00|b0,WARMUP,12,0.09609490755085695,,0.0,0.05,0,0,0.105423987776929,True,False,True,False,True,FALSE_UNSAFE,-0.009329080226072053,0,WARMUP,True,FULL_INTERIOR,82444e4f495344856de94b0d72ab4a46843780c232e2f299b300fcafa8c4b4a1,b87cf615ab34b447e87bf447d79b9e4183a6e16fcef6223c57fad7be4aec6502,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,6cd0b52dd7ce8f064a636e3bfc8de9b2309a7dfb02abb27056836d0416fd20a6,357158a3c01d61e36098ae03786aeb48ee6065502c78a6578078aa2eb8873772,0|1|2|3|4|5|6|7|8|9|10|11,False,True,AGGREGATE_COVERAGE_RIDGE_V1,MISCOVERAGE_TRIGGERED_RESET_V1,1.0,raven_mcs,False
sensorscope,1.0,13,0,sensorscope|a=1.00|b0,WARMUP,13,0.09502617410667635,,0.0,0.05,0,0,0.105423987776929,True,False,True,False,True,FALSE_UNSAFE,-0.01039781367025265,0,WARMUP,True,FULL_INTERIOR,82444e4f495344856de94b0d72ab4a46843780c232e2f299b300fcafa8c4b4a1,b87cf615ab34b447e87bf447d79b9e4183a6e16fcef6223c57fad7be4aec6502,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,6cd0b52dd7ce8f064a636e3bfc8de9b2309a7dfb02abb27056836d0416fd20a6,357158a3c01d61e36098ae03786aeb48ee6065502c78a6578078aa2eb8873772,0|1|2|3|4|5|6|7|8|9|10|11|12,False,True,AGGREGATE_COVERAGE_RIDGE_V1,MISCOVERAGE_TRIGGERED_RESET_V1,1.0,raven_mcs,False
sensorscope,1.0,14,0,sensorscope|a=1.00|b0,WARMUP,14,0.09407946233203954,,0.0,0.05,0,0,0.105423987776929,True,False,True,False,True,FALSE_UNSAFE,-0.011344525444889467,0,WARMUP,True,FULL_INTERIOR,82444e4f495344856de94b0d72ab4a46843780c232e2f299b300fcafa8c4b4a1,b87cf615ab34b447e87bf447d79b9e4183a6e16fcef6223c57fad7be4aec6502,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,6cd0b52dd7ce8f064a636e3bfc8de9b2309a7dfb02abb27056836d0416fd20a6,357158a3c01d61e36098ae03786aeb48ee6065502c78a6578078aa2eb8873772,0|1|2|3|4|5|6|7|8|9|10|11|12|13,False,True,AGGREGATE_COVERAGE_RIDGE_V1,MISCOVERAGE_TRIGGERED_RESET_V1,1.0,raven_mcs,False
sensorscope,1.0,15,0,sensorscope|a=1.00|b0,WARMUP,15,0.09291047897094923,,0.0,0.05,0,0,0.105423987776929,True,False,True,False,True,FALSE_UNSAFE,-0.012513508805979776,0,WARMUP,True,FULL_INTERIOR,82444e4f495344856de94b0d72ab4a46843780c232e2f299b300fcafa8c4b4a1,b87cf615ab34b447e87bf447d79b9e4183a6e16fcef6223c57fad7be4aec6502,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,6cd0b52dd7ce8f064a636e3bfc8de9b2309a7dfb02abb27056836d0416fd20a6,357158a3c01d61e36098ae03786aeb48ee6065502c78a6578078aa2eb8873772,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14,False,True,AGGREGATE_COVERAGE_RIDGE_V1,MISCOVERAGE_TRIGGERED_RESET_V1,1.0,raven_mcs,False
sensorscope,1.0,16,0,sensorscope|a=1.00|b0,WARMUP,16,0.09229693411681042,,0.0,0.05,0,0,0.105423987776929,True,False,True,False,True,FALSE_UNSAFE,-0.013127053660118584,0,WARMUP,True,FULL_INTERIOR,82444e4f495344856de94b0d72ab4a46843780c232e2f299b300fcafa8c4b4a1,b87cf615ab34b447e87bf447d79b9e4183a6e16fcef6223c57fad7be4aec6502,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,6cd0b52dd7ce8f064a636e3bfc8de9b2309a7dfb02abb27056836d0416fd20a6,357158a3c01d61e36098ae03786aeb48ee6065502c78a6578078aa2eb8873772,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,False,True,AGGREGATE_COVERAGE_RIDGE_V1,MISCOVERAGE_TRIGGERED_RESET_V1,1.0,raven_mcs,False
sensorscope,1.0,17,0,sensorscope|a=1.00|b0,WARMUP,17,0.09228270995919671,,0.0,0.05,0,0,0.105423987776929,True,False,True,False,True,FALSE_UNSAFE,-0.013141277817732291,0,WARMUP,True,FULL_INTERIOR,82444e4f495344856de94b0d72ab4a46843780c232e2f299b300fcafa8c4b4a1,b87cf615ab34b447e87bf447d79b9e4183a6e16fcef6223c57fad7be4aec6502,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,6cd0b52dd7ce8f064a636e3bfc8de9b2309a7dfb02abb27056836d0416fd20a6,357158a3c01d61e36098ae03786aeb48ee6065502c78a6578078aa2eb8873772,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,False,True,AGGREGATE_COVERAGE_RIDGE_V1,MISCOVERAGE_TRIGGERED_RESET_V1,1.0,raven_mcs,False
sensorscope,1.0,18,0,sensorscope|a=1.00|b0,WARMUP,18,0.09287054102863002,,0.0,0.05,0,0,0.1283422459893048,True,False,True,False,True,FALSE_UNSAFE,-0.03547170496067478,0,CERTIFIED,True,FULL_INTERIOR,82444e4f495344856de94b0d72ab4a46843780c232e2f299b300fcafa8c4b4a1,b87cf615ab34b447e87bf447d79b9e4183a6e16fcef6223c57fad7be4aec6502,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,6cd0b52dd7ce8f064a636e3bfc8de9b2309a7dfb02abb27056836d0416fd20a6,357158a3c01d61e36098ae03786aeb48ee6065502c78a6578078aa2eb8873772,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,False,True,AGGREGATE_COVERAGE_RIDGE_V1,MISCOVERAGE_TRIGGERED_RESET_V1,1.0,raven_mcs,False
sensorscope,1.0,19,0,sensorscope|a=1.00|b0,CERTIFIED,19,0.09491259092453702,0.027975904971525745,0.06693668595301128,0.05,1,1,0.1283422459893048,True,True,True,False,False,TRUE_SAFE,-0.03342965506476778,0,CERTIFIED,True,FULL_INTERIOR,82444e4f495344856de94b0d72ab4a46843780c232e2f299b300fcafa8c4b4a1,b87cf615ab34b447e87bf447d79b9e4183a6e16fcef6223c57fad7be4aec6502,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,2d79a8a18a4649240523b0928b98a1558218fae32a5abb82b7fb39475540e267,6cd0b52dd7ce8f064a636e3bfc8de9b2309a7dfb02abb27056836d0416fd20a6,357158a3c01d61e36098ae03786aeb48ee6065502c78a6578078aa2eb8873772,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,False,False,AGGREGATE_COVERAGE_RIDGE_V1,MISCOVERAGE_TRIGGERED_RESET_V1,1.0,raven_mcs,False
