split,dataset,baseline,n,gated_mean,base_mean,mean_pct_gated_minus_base,pct_ci95_low,pct_ci95_high,p_raw,test,win,no_harm,p_holm
val,sensorscope,fedau_window,10,8.656729304547069,8.652231781699877,0.05247937242310567,-0.1232890503333708,0.22824779517958216,0.556640625,WILCOXON,False,True,0.556640625
val,sensorscope,obsuse_window,10,8.656729304547069,8.643769402326354,0.15050459259634918,-0.025438222972654273,0.32644740816535267,0.232421875,WILCOXON,False,True,0.46484375
val,sensorscope,twostage_hajek,10,8.656729304547069,8.653893553854171,0.033866667683538486,-0.11958477093276829,0.18731810629984527,0.6953125,WILCOXON,,,
val,sensorscope,raven_wo_design,10,8.656729304547069,8.656963434538719,-0.0027788467492110237,-0.04835432292537928,0.042796629426957236,1.0,WILCOXON,,,
val,sensorscope,fedavg_window,10,8.656729304547069,8.656706993628855,4.3772455418908396e-05,-0.06188756425938757,0.06197510917022539,0.845703125,WILCOXON,,,
val,sensorscope,raven,10,8.656729304547069,8.656729304547069,0.0,0.0,0.0,1.0,ALL_TIES,,,
val,uair,fedau_window,10,1.0583917723979759,1.0631649218433656,-0.4435916347614891,-1.2444236267603843,0.3572403572374061,0.322265625,WILCOXON,False,True,0.64453125
val,uair,obsuse_window,10,1.0583917723979759,1.0613609759801208,-0.27229076012907105,-1.0923148916528007,0.5477333713946586,0.556640625,WILCOXON,False,True,0.64453125
val,uair,twostage_hajek,10,1.0583917723979759,1.165639737153069,-9.171166676853156,-11.164492224810513,-7.177841128895801,0.001953125,WILCOXON,,,
val,uair,raven_wo_design,10,1.0583917723979759,1.0583917723979759,0.0,0.0,0.0,1.0,ALL_TIES,,,
val,uair,fedavg_window,10,1.0583917723979759,1.1464061194312205,-7.6809096572223705,-9.54809528369424,-5.813724030750502,0.001953125,WILCOXON,,,
val,uair,raven,10,1.0583917723979759,1.1449030256448722,-7.559267390530171,-9.356742592518865,-5.761792188541477,0.001953125,WILCOXON,,,
