dataset,variant,Delta_group_pct,RMSE_mu_pct
SensorScope,Estimated,-1.228434133650586,-0.005309736559435988
SensorScope,Oracle,-1.0345888345453522,-0.013228562650964629
U-Air,Estimated,7.498982753025233,7.072313349518344
U-Air,Oracle,7.476232772036189,7.1079118838817745
