round,dataset,scenario,method_or_configuration,seed,metric,value,status,comparison_class,paper_role,source_file,source_row_or_key,source_sha256,scientific_status,notes
E1,Balanced,balanced_no_harm,RAVEN-MCS,28001,RMSE_mu,7.7394454916054105,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28001_20260803_100329_435106,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28001,MAE_mu,,MISSING_NOT_RECORDED,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28001_20260803_100329_435106,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28001,Tail_RMSE,8.46767554958881,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28001_20260803_100329_435106,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28001,Delta_group,0.1412903225806452,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28001_20260803_100329_435106,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28001,Delta_c_s,0.6059413600295485,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28001_20260803_100329_435106,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28001,RMSE_rho,7.148549835997544,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28001_20260803_100329_435106,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28001,RMSE_mu,7.746626778906244,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28001_20260803_100235_762327,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28001,MAE_mu,,MISSING_NOT_RECORDED,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28001_20260803_100235_762327,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28001,Tail_RMSE,8.475028749590345,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28001_20260803_100235_762327,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28001,Delta_group,0.14129032258064514,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28001_20260803_100235_762327,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28001,Delta_c_s,0.6059413600295485,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28001_20260803_100235_762327,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28001,RMSE_rho,7.155727611359744,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28001_20260803_100235_762327,,VALID,
E1,Balanced,balanced_no_harm,FedAsync-Window,28002,RMSE_mu,7.716831283758446,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedasync_window_28002_20260803_100507_659164,,VALID,
E1,Balanced,balanced_no_harm,FedAsync-Window,28002,MAE_mu,,MISSING_NOT_RECORDED,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedasync_window_28002_20260803_100507_659164,,VALID,
