dataset,seed,configuration,component,metric,full_RAVEN,ablation,absolute_change,relative_change_percent,status
SensorScope,30001,RAVEN-w/o-Design,Design,Delta_group,0.9984597031193984,1.0062243673187172,0.007764664199318871,0.777664253756103,VALID
SensorScope,30001,RAVEN-w/o-Design,Design,Delta_c_s,1.214493695326521,1.2257944112551058,0.011300715928584726,0.9304878215564953,VALID
SensorScope,30001,RAVEN-w/o-Design,Design,RMSE_mu,7.913791224192832,7.916851248042733,0.0030600238499012278,0.038666977220053404,VALID
SensorScope,30001,RAVEN-w/o-Design,Design,Tail_RMSE,8.435797825584572,8.438922478300315,0.003124652715742471,0.03704039357446245,VALID
SensorScope,30001,RAVEN-w/o-Obs,Obs,Delta_group,0.9984597031193984,0.9999482152790156,0.0014885121596172057,0.14908084472180302,VALID
SensorScope,30001,RAVEN-w/o-Obs,Obs,Delta_c_s,1.214493695326521,1.2132871622062313,-0.0012065331202897323,-0.09934453549924369,VALID
SensorScope,30001,RAVEN-w/o-Obs,Obs,RMSE_mu,7.913791224192832,7.914298560311074,0.000507336118241497,0.00641078471580785,VALID
SensorScope,30001,RAVEN-w/o-Obs,Obs,Tail_RMSE,8.435797825584572,8.436304268737466,0.0005064431528936097,0.006003500360779628,VALID
SensorScope,30001,RAVEN-w/o-Use,Use,Delta_group,0.9984597031193984,1.0006582626164435,0.0021985594970451716,0.22019511555412893,VALID
SensorScope,30001,RAVEN-w/o-Use,Use,Delta_c_s,1.214493695326521,1.2132107394412124,-0.0012829558853086898,-0.10563709719083904,VALID
SensorScope,30001,RAVEN-w/o-Use,Use,RMSE_mu,7.913791224192832,7.917196607356961,0.00340538316412875,0.043030995734614955,VALID
SensorScope,30001,RAVEN-w/o-Use,Use,Tail_RMSE,8.435797825584572,8.439274849543462,0.0034770239588901575,0.041217488028753364,VALID
SensorScope,30001,RAVEN-w/o-Inst,Inst,Delta_group,0.9984597031193984,1.0033853681514127,0.004925665032014304,0.4933263722737622,VALID
SensorScope,30001,RAVEN-w/o-Inst,Inst,Delta_c_s,1.214493695326521,1.221074224051657,0.006580528725135926,0.5418330906499047,VALID
SensorScope,30001,RAVEN-w/o-Inst,Inst,RMSE_mu,7.913791224192832,7.914394849750177,0.0006036255573445004,0.007627514300594495,VALID
SensorScope,30001,RAVEN-w/o-Inst,Inst,Tail_RMSE,8.435797825584572,8.436410007962834,0.000612182378262105,0.0072569588664802166,VALID
SensorScope,30001,RAVEN-w/o-Debt,Debt,Delta_group,0.9984597031193984,0.9986066222082528,0.00014691908885444693,0.014714573697410197,VALID
SensorScope,30001,RAVEN-w/o-Debt,Debt,Delta_c_s,1.214493695326521,1.2145164806400233,2.2785313502193816e-05,0.0018761162441496167,VALID
SensorScope,30001,RAVEN-w/o-Debt,Debt,RMSE_mu,7.913791224192832,7.9138595586894525,6.833449662035918e-05,0.0008634862189876503,VALID
SensorScope,30001,RAVEN-w/o-Debt,Debt,Tail_RMSE,8.435797825584572,8.435865608569832,6.778298526022297e-05,0.0008035160000474033,VALID
SensorScope,30002,RAVEN-w/o-Design,Design,Delta_group,1.0163090121121825,1.0234103594504855,0.007101347338303032,0.6987389911602171,VALID
SensorScope,30002,RAVEN-w/o-Design,Design,Delta_c_s,1.2431424371461768,1.2462467871947183,0.003104350048541482,0.2497179692190375,VALID
SensorScope,30002,RAVEN-w/o-Design,Design,RMSE_mu,7.8711066009172805,7.87148574334562,0.0003791424283390299,0.0048168884956385355,VALID
SensorScope,30002,RAVEN-w/o-Design,Design,Tail_RMSE,8.391550167743068,8.391917956061215,0.00036778831814743285,0.004382841200916643,VALID
SensorScope,30002,RAVEN-w/o-Obs,Obs,Delta_group,1.0163090121121825,1.016406283027154,9.727091497158113e-05,0.009570997975254023,VALID
SensorScope,30002,RAVEN-w/o-Obs,Obs,Delta_c_s,1.2431424371461768,1.2422653691221244,-0.0008770680240524076,-0.07055249646740812,VALID
SensorScope,30002,RAVEN-w/o-Obs,Obs,RMSE_mu,7.8711066009172805,7.87232141708065,0.0012148161633698251,0.015433867497465392,VALID
SensorScope,30002,RAVEN-w/o-Obs,Obs,Tail_RMSE,8.391550167743068,8.392784357530848,0.0012341897877803376,0.014707530350286597,VALID
SensorScope,30002,RAVEN-w/o-Use,Use,Delta_group,1.0163090121121825,1.0195456179584634,0.0032366058462809377,0.3184667072423514,VALID
SensorScope,30002,RAVEN-w/o-Use,Use,Delta_c_s,1.2431424371461768,1.2446013256338035,0.0014588884876267638,0.11735489385881355,VALID
SensorScope,30002,RAVEN-w/o-Use,Use,RMSE_mu,7.8711066009172805,7.87027753531459,-0.0008290656026908039,-0.01053302470321246,VALID
SensorScope,30002,RAVEN-w/o-Use,Use,Tail_RMSE,8.391550167743068,8.390714922386245,-0.0008352453568232221,-0.009953409562322426,VALID
