dataset,availability_level,window_id,state_before_decision,C_hat,C_LCB,C_t,Gate_t,Design_t,certificate_valid,false_safe,reset_trigger_after_window
sensorscope,1.0,50,CERTIFIED,0.1580187878253334,0.131435405814023,0.1711229946524064,1,1,True,False,0
sensorscope,1.0,51,CERTIFIED,0.1592817643714577,0.1326983823601472,0.1711229946524064,1,1,True,False,0
sensorscope,1.0,52,CERTIFIED,0.1599772342566705,0.1333938522453601,0.1711229946524064,1,1,True,False,0
sensorscope,1.0,53,CERTIFIED,0.1600613152913983,0.1334779332800879,0.1711229946524064,1,1,True,False,0
sensorscope,1.0,54,CERTIFIED,0.1595312729451192,0.1329478909338088,0.160427807486631,1,1,True,False,0
sensorscope,1.0,55,CERTIFIED,0.158010017261976,0.1314266352506656,0.160427807486631,1,1,True,False,0
sensorscope,1.0,56,CERTIFIED,0.1560932903805358,0.1295099083692254,0.160427807486631,1,1,True,False,0
sensorscope,1.0,57,CERTIFIED,0.1540736542472375,0.1274902722359271,0.160427807486631,1,1,True,False,0
sensorscope,1.0,58,CERTIFIED,0.1518126547410609,0.1252292727297505,0.160427807486631,1,1,True,False,0
sensorscope,1.0,59,CERTIFIED,0.1494634970084273,0.1246986020295202,0.160427807486631,1,1,True,False,0
sensorscope,1.0,60,CERTIFIED,0.1471855234033878,0.1224206284244807,0.1405653170359052,1,1,True,False,0
sensorscope,1.0,61,CERTIFIED,0.14436135989872,0.1195964649198129,0.1405653170359052,1,1,True,False,0
sensorscope,0.8,0,WARMUP,0.0862695313287279,0.0,0.0700048614487117,0,0,True,False,0
sensorscope,0.8,1,WARMUP,0.0866619336001596,0.0,0.0700048614487117,0,0,True,False,0
sensorscope,0.8,2,WARMUP,0.0869538689246142,0.0,0.0684491978609626,0,0,True,False,0
sensorscope,0.8,3,WARMUP,0.0878645411654146,0.0,0.07311618862421,0,0,True,False,0
sensorscope,0.8,4,WARMUP,0.0884185261350908,0.0,0.0762275157997083,0,0,True,False,0
sensorscope,0.8,5,WARMUP,0.088536852641182,0.0,0.0668935342732134,0,0,True,False,0
sensorscope,0.8,6,WARMUP,0.0878607215428572,0.0,0.0612542537676227,0,0,True,False,0
sensorscope,0.8,7,WARMUP,0.0865923236779251,0.0,0.067087992221682,0,0,True,False,0
sensorscope,0.8,8,WARMUP,0.0852203557159377,0.0,0.0700048614487117,0,0,True,False,0
