dataset,method,seed,Delta_group,Delta_group_status,Delta_c_s,Delta_c_s_status,comparison_class
SensorScope,TimeAlign-Agg,30012,1.036402038821393,VALID,1.290087123151639,VALID,SCI_COMPARABLE_MAIN
SensorScope,TimeAlign-Agg,30013,1.066582086628169,VALID,1.2905771136185882,VALID,SCI_COMPARABLE_MAIN
SensorScope,TimeAlign-Agg,30014,1.0774975310665078,VALID,1.308800061373843,VALID,SCI_COMPARABLE_MAIN
SensorScope,TimeAlign-Agg,30015,1.0593892069698514,VALID,1.2880548961194125,VALID,SCI_COMPARABLE_MAIN
SensorScope,TimeAlign-Agg,30016,1.0304822665323687,VALID,1.310089348232793,VALID,SCI_COMPARABLE_MAIN
SensorScope,TimeAlign-Agg,30017,1.0494786575431732,VALID,1.2709010225139254,VALID,SCI_COMPARABLE_MAIN
SensorScope,TimeAlign-Agg,30018,1.0971445843347367,VALID,1.3142252503203269,VALID,SCI_COMPARABLE_MAIN
SensorScope,TimeAlign-Agg,30019,1.036325330881782,VALID,1.2827863649940263,VALID,SCI_COMPARABLE_MAIN
SensorScope,TimeAlign-Agg,30020,1.1140961396648996,VALID,1.3529903448748948,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30001,1.0433329926179935,VALID,1.2422979138143753,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30002,1.0423759073199488,VALID,1.2669848858624366,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30003,1.0513745195898068,VALID,1.2781271187126726,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30004,1.0893131373846656,VALID,1.2959504633592989,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30005,1.0483361139897638,VALID,1.3071388392780583,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30006,1.0366055669987118,VALID,1.2598999305652532,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30007,1.064965321416934,VALID,1.2650939114648792,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30008,0.9857842467918952,VALID,1.2567093568590075,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30009,1.033722576235309,VALID,1.254444395446093,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30010,1.0716073992571684,VALID,1.3531575695170164,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30011,1.0849967061923578,VALID,1.3200732024715194,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30012,1.034846157426802,VALID,1.2881076510108769,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30013,1.063537512155023,VALID,1.288657604556222,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30014,1.0776157343762005,VALID,1.309539636753089,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30015,1.0541024686185971,VALID,1.2857957454731648,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30016,1.0334462132849225,VALID,1.3119255849008766,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30017,1.0483863209669655,VALID,1.2719677574516286,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30018,1.099053523348939,VALID,1.3130832702479562,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30019,1.0369701721516231,VALID,1.284417766373411,VALID,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,30020,1.1151179022825877,VALID,1.352990344874895,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30001,0.9984597031193984,VALID,1.214493695326521,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30002,1.0163090121121825,VALID,1.2431424371461768,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30003,0.987986650220171,VALID,1.227537924281065,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30004,1.0422365849976831,VALID,1.277735105290421,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30005,1.0089789888358265,VALID,1.2816181819842345,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30006,0.9895753536742936,VALID,1.2432774583600854,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30007,1.0100807534481162,VALID,1.2353840602099804,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30008,0.939312346476748,VALID,1.2310446800709207,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30009,1.0088851531251488,VALID,1.238890820397546,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30010,1.03814980014277,VALID,1.3196560244379938,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30011,1.0303587866854431,VALID,1.285993261174073,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30012,1.0031060360546422,VALID,1.277988485086274,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30013,1.0239619990670108,VALID,1.2553059578568249,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30014,1.0340455375778568,VALID,1.2852656734819687,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30015,1.0068240353091449,VALID,1.261207381708227,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30016,0.9889110085578758,VALID,1.2825280981688456,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30017,1.0193012200949805,VALID,1.246154103986357,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30018,1.0546663047233986,VALID,1.2840696137956993,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30019,0.9906093845200352,VALID,1.258470256568221,VALID,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,30020,1.0871103525482646,VALID,1.3378294819705725,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30001,1.0389365634028656,VALID,1.2416076010133024,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30002,1.0217245509381845,VALID,1.2670956926554915,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30003,0.993495612467219,VALID,1.2496956883341723,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30004,1.0798258732997854,VALID,1.3051166998623058,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30005,1.030699751014282,VALID,1.3019577392518475,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30006,1.0153215657144816,VALID,1.269557922606388,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30007,1.043334878608044,VALID,1.2686746949665535,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30008,0.9498754676132524,VALID,1.2578887971765718,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30009,1.0297062948790416,VALID,1.2697638859914673,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30010,1.0464595394407494,VALID,1.341502760073598,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30011,1.0563391054555795,VALID,1.3151976440165876,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30012,0.9982472713709288,VALID,1.296954843132086,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30013,1.03859544411881,VALID,1.2770192968620262,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30014,1.062338885024925,VALID,1.314391233333091,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30015,1.0176614078299218,VALID,1.2763363736587223,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30016,1.021673222968913,VALID,1.3155476542766722,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30017,1.0448198807740483,VALID,1.2727801945766553,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30018,1.0753338814016635,VALID,1.30622580220018,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30019,1.028053793244082,VALID,1.2973180031308102,VALID,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,30020,1.1142301403617307,VALID,1.3752127470633733,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30001,1.1147748895438334,VALID,1.2490215812968426,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30002,1.1557183399916002,VALID,1.2945606276500687,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30003,1.082015697202814,VALID,1.2363182683425156,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30004,1.1329508851398176,VALID,1.280729549817895,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30005,1.1198972738332256,VALID,1.253353397662857,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30006,1.196766603909283,VALID,1.3261412911327006,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30007,1.1210378053732493,VALID,1.2568511984088926,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30008,1.1361835461940355,VALID,1.2217826691958646,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30009,1.1074288582251872,VALID,1.2404441083290298,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30010,1.095663981909681,VALID,1.2835396630801452,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30011,1.1826466315090598,VALID,1.2864955678384955,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30012,1.0423709545396056,VALID,1.2179183722549016,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30013,1.1582107609314978,VALID,1.2861341689126948,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30014,1.1155425585412009,VALID,1.2414585779501133,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30015,1.0867280135319524,VALID,1.2349337713218589,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30016,1.0842480689572829,VALID,1.2625469360955863,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30017,1.061603205254675,VALID,1.2072864393603684,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30018,1.1056438924104612,VALID,1.275889034391665,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30019,1.1701768863281772,VALID,1.296370840201623,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,30020,1.176168074119779,VALID,1.2869316638339336,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30001,1.1131258678428484,VALID,1.2480410574750196,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30002,1.1569223985890646,VALID,1.2954327643006889,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30003,1.080989290037921,VALID,1.2356185330009406,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30004,1.1319057602076463,VALID,1.2786177783482366,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30005,1.119589831614613,VALID,1.2558402953784535,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30006,1.1951358777035557,VALID,1.3261103949373023,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30007,1.121515423779574,VALID,1.2564168912848157,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30008,1.136196466007786,VALID,1.2222044666923373,VALID,SCI_COMPARABLE_MAIN
