dataset,method,n,rmse_mu_mean,rmse_mu_std,worstgroup_mean,worstgroup_std,delta_group_mean,delta_group_std,delta_cs_mean,delta_cs_std
tdrive_speed,fedavg_window,10,1.104187947,0.002244747399,1.306359831,0.003463172536,0.5231741479,1.695893683e-16,1.975772471,0.0003739725781
tdrive_speed,twostage_hajek,10,1.125370217,0.01416425706,1.337307733,0.0198270655,0.5948062187,0.01239174823,1.964244715,0.0006715358617
tdrive_speed,fedau_window,10,1.089814632,0.005045760902,1.280060453,0.01094997468,0.5231741479,9.791246743e-17,1.991547025,0.001197083909
tdrive_speed,obsuse_window,10,1.089575006,0.004930444382,1.279587075,0.01077484892,0.5231741479,8.275113844e-17,1.991579724,0.001192043744
tdrive_speed,raven_wo_design,10,1.106858293,0.00280695401,1.310597179,0.004388540112,0.5231741479,1.570092459e-16,1.99355839,0.0002536421062
tdrive_speed,raven,10,1.124228012,0.0158913995,1.335497434,0.02249122258,0.5948062187,0.01239174823,1.97744821,0.0005696513844
