scd_method,comparator,n_paired,RMSE_mu_paired_mean_diff,RMSE_mu_paired_rel_mean,RMSE_mu_p_unadj,WorstGroupRMSE_paired_mean_diff,WorstGroupRMSE_paired_rel_mean,WorstGroupRMSE_p_unadj,Delta_group_paired_mean_diff,Delta_group_paired_rel_mean,Delta_group_p_unadj,Delta_c_s_paired_mean_diff,Delta_c_s_paired_rel_mean,Delta_c_s_p_unadj,worstgroup_noninferior_plus_0.5pct,RMSE_mu_p_holm
raven_wo_design,fedau_window,10,0.017043661494658656,0.015658141785424202,0.0,0.030536726115684542,0.023923855803706914,4.440892098500626e-16,-3.3306690738754695e-17,-6.366272277279082e-17,0.4781387220217499,0.00201136566856821,0.001010229707507334,9.672076473066227e-10,False,0.0
raven_wo_design,obsuse_window,10,0.017283287147812222,0.01588075131513695,0.0,0.0310101039070503,0.024300725332698846,0.0,-1.1102230246251566e-17,-2.1220907590930264e-17,0.805860609520727,0.001978666224054293,0.0009937915409699181,1.4595937791739289e-09,False,0.0
raven_wo_design,fedavg_window,10,0.0026703463829193864,0.0024189559396574126,5.481947246943619e-05,0.004237348196416213,0.0032446442441583243,5.578474072409634e-05,1.6653345369377348e-16,3.183136138639544e-16,0.004040984683985727,0.017785919025317322,0.009002026505395219,0.0,True,5.481947246943619e-05
