dataset,method,seed,RMSE_mu,WorstGroupRMSE,Delta_group,Delta_c_s,path_status
tdrive_speed,fedavg_window,30001,1.1031353358552016,1.3042036618033628,0.5231741478859561,1.9754613168623258,REAL_PATH_EXECUTED
tdrive_speed,twostage_hajek,30001,1.1140845513940543,1.3211889762080602,0.6108764291387097,1.9636422820465096,REAL_PATH_EXECUTED
tdrive_speed,fedau_window,30001,1.0919187854254795,1.2845314015718696,0.5231741478859562,1.989808861430399,REAL_PATH_EXECUTED
tdrive_speed,obsuse_window,30001,1.0914986988187398,1.283733408746073,0.5231741478859562,1.9898370584216312,REAL_PATH_EXECUTED
tdrive_speed,raven_wo_design,30001,1.1078411236549408,1.311638523733893,0.523174147885956,1.9931723400368453,REAL_PATH_EXECUTED
tdrive_speed,raven,30001,1.113638599869406,1.320521907835427,0.6108764291387097,1.9769307370804468,REAL_PATH_EXECUTED
tdrive_speed,fedavg_window,30002,1.1056234978382853,1.3087910046335627,0.523174147885956,1.9758352406009938,REAL_PATH_EXECUTED
tdrive_speed,twostage_hajek,30002,1.1068112283466314,1.310607783696021,0.5766883949506754,1.9636451358498968,REAL_PATH_EXECUTED
tdrive_speed,fedau_window,30002,1.0988230261366079,1.2975581806677987,0.5231741478859561,1.99357764101669,REAL_PATH_EXECUTED
tdrive_speed,obsuse_window,30002,1.098259291865347,1.2965892908556904,0.5231741478859561,1.9935987961227895,REAL_PATH_EXECUTED
tdrive_speed,raven_wo_design,30002,1.1095964298919325,1.3149865398069733,0.523174147885956,1.9935550758422007,REAL_PATH_EXECUTED
tdrive_speed,raven,30002,1.1038415773415866,1.3058661888346246,0.5766883949506755,1.9770738026706962,REAL_PATH_EXECUTED
tdrive_speed,fedavg_window,30003,1.1048523420360348,1.307085761444339,0.5231741478859557,1.975798376276964,REAL_PATH_EXECUTED
tdrive_speed,twostage_hajek,30003,1.1401179691529426,1.3576592802674647,0.6108764291387097,1.9649596446046353,REAL_PATH_EXECUTED
tdrive_speed,fedau_window,30003,1.089020920872115,1.2789982443588932,0.5231741478859561,1.9915138813491788,REAL_PATH_EXECUTED
tdrive_speed,obsuse_window,30003,1.088701083811062,1.278334189284646,0.5231741478859561,1.9915439987685193,REAL_PATH_EXECUTED
tdrive_speed,raven_wo_design,30003,1.105594131252637,1.308264269604864,0.523174147885956,1.9936913597989,REAL_PATH_EXECUTED
tdrive_speed,raven,30003,1.138364147640033,1.3553263773709594,0.6108764291387097,1.9772961757397138,REAL_PATH_EXECUTED
tdrive_speed,fedavg_window,30004,1.1081054211145103,1.3122285723807599,0.5231741478859557,1.9757414813348497,REAL_PATH_EXECUTED
